school,address,absences,mom_job,dad_job,math_assessment_score
Hogwarts,U,6,at_home,teacher,6
Hogwarts,U,4,at_home,other,6
Hogwarts,U,10,at_home,other,10
Hogwarts,U,2,health,services,15
Hogwarts,U,4,other,other,10
Hogwarts,U,10,services,other,15
Hogwarts,U,0,other,other,11
Hogwarts,U,6,other,teacher,6
Hogwarts,U,0,services,other,19
Hogwarts,U,0,other,other,15
Hogwarts,U,0,teacher,health,9
Hogwarts,U,4,services,other,12
Hogwarts,U,2,health,services,14
Hogwarts,U,2,teacher,other,11
Hogwarts,U,0,other,other,16
Hogwarts,U,4,health,other,14
Hogwarts,U,6,services,services,14
Hogwarts,U,4,other,other,10
Hogwarts,U,16,services,services,5
Hogwarts,U,4,health,other,10
Hogwarts,U,0,teacher,other,15
Hogwarts,U,0,health,health,15
Hogwarts,U,2,teacher,other,16
Hogwarts,U,0,other,other,12
Hogwarts,R,2,services,health,8
Hogwarts,U,14,services,services,8
Hogwarts,U,2,other,other,11
Hogwarts,U,4,health,services,15
Hogwarts,U,4,services,other,11
Hogwarts,U,16,teacher,teacher,11
Hogwarts,U,0,health,services,12
Hogwarts,U,0,services,services,17
Hogwarts,R,0,teacher,at_home,16
Hogwarts,U,0,other,other,12
Hogwarts,U,0,other,other,15
Hogwarts,U,0,other,other,6
Hogwarts,U,2,teacher,services,18
Hogwarts,R,7,other,teacher,15
Hogwarts,R,2,services,health,11
Hogwarts,R,8,at_home,other,13
Hogwarts,U,25,other,other,11
Hogwarts,U,8,teacher,other,12
Hogwarts,U,2,services,teacher,18
Hogwarts,U,0,services,services,11
Hogwarts,U,14,other,at_home,9
Hogwarts,U,8,other,other,6
Hogwarts,U,12,other,services,11
Hogwarts,U,4,health,services,20
Hogwarts,U,2,teacher,other,14
Hogwarts,U,2,services,teacher,7
Hogwarts,U,2,services,services,13
Hogwarts,U,2,health,other,13
Hogwarts,U,6,health,health,10
Hogwarts,U,0,services,services,11
Hogwarts,U,6,other,other,13
Hogwarts,U,8,other,other,10
Hogwarts,U,0,services,services,15
Hogwarts,U,4,teacher,health,15
Hogwarts,U,2,other,at_home,9
Hogwarts,U,2,services,other,16
Hogwarts,R,6,health,teacher,11
Hogwarts,U,6,services,services,11
Hogwarts,U,4,other,services,9
Hogwarts,U,2,teacher,health,9
Hogwarts,U,0,services,services,10
Hogwarts,U,2,teacher,services,15
Hogwarts,U,4,other,services,12
Hogwarts,U,4,services,other,6
Hogwarts,R,2,health,services,8
Hogwarts,R,12,other,other,16
Hogwarts,U,0,other,other,15
Hogwarts,U,0,other,other,10
Hogwarts,R,2,other,other,5
Hogwarts,U,2,other,other,14
Hogwarts,U,54,other,services,11
Hogwarts,U,6,teacher,other,10
Hogwarts,U,8,teacher,other,10
Hogwarts,U,0,other,other,11
Hogwarts,U,2,other,other,10
Hogwarts,U,12,at_home,other,5
Hogwarts,U,2,other,services,12
Hogwarts,U,4,other,other,11
Hogwarts,U,10,services,other,6
Hogwarts,U,4,services,services,15
Hogwarts,U,2,other,other,10
Hogwarts,U,6,services,services,8
Hogwarts,U,4,at_home,other,6
Hogwarts,U,4,other,other,14
Hogwarts,U,12,services,other,10
Hogwarts,U,18,teacher,health,7
Hogwarts,U,0,other,other,8
Hogwarts,U,4,services,other,18
Hogwarts,U,4,other,other,6
Hogwarts,U,0,teacher,services,10
Hogwarts,U,6,services,health,14
Hogwarts,R,2,at_home,other,10
Hogwarts,R,2,services,other,15
Hogwarts,U,2,other,other,10
Hogwarts,U,6,other,other,14
Hogwarts,U,0,other,at_home,8
Hogwarts,U,14,services,services,5
Hogwarts,U,0,services,teacher,17
Hogwarts,U,4,services,other,14
Hogwarts,U,26,services,other,6
Hogwarts,U,0,services,other,18
Hogwarts,U,10,other,health,11
Hogwarts,U,8,other,other,8
Hogwarts,U,2,services,other,18
Hogwarts,R,6,other,other,13
Hogwarts,U,4,health,health,16
Hogwarts,U,6,teacher,teacher,19
Hogwarts,R,0,services,other,10
Hogwarts,U,6,at_home,other,13
Hogwarts,U,10,teacher,other,19
Hogwarts,R,8,health,services,9
Hogwarts,U,2,teacher,teacher,16
Hogwarts,U,2,other,teacher,14
Hogwarts,U,0,other,services,13
Hogwarts,R,20,other,other,8
Hogwarts,U,6,other,other,13
Hogwarts,U,2,at_home,services,15
Hogwarts,U,6,services,services,15
Hogwarts,U,2,other,health,13
Hogwarts,U,18,health,other,13
Hogwarts,U,0,other,other,8
Hogwarts,U,0,services,services,12
Hogwarts,U,0,other,other,11
Hogwarts,U,2,at_home,other,9
Hogwarts,R,0,services,other,0
Hogwarts,R,8,teacher,teacher,18
Hogwarts,R,0,services,teacher,0
Hogwarts,U,0,at_home,other,0
Hogwarts,U,12,other,other,12
Hogwarts,U,16,services,other,11
Hogwarts,R,0,at_home,teacher,0
Hogwarts,U,0,services,at_home,0
Hogwarts,R,0,at_home,other,0
Hogwarts,U,0,other,other,0
Hogwarts,U,0,services,other,12
Hogwarts,U,0,teacher,teacher,15
Hogwarts,U,0,teacher,services,0
Hogwarts,U,8,services,services,9
Hogwarts,U,2,teacher,services,11
Hogwarts,U,2,at_home,at_home,13
Hogwarts,U,0,other,other,0
Hogwarts,U,0,other,services,11
Hogwarts,U,0,health,services,0
Hogwarts,U,2,at_home,other,11
Hogwarts,U,0,teacher,teacher,0
Hogwarts,U,0,services,other,10
Hogwarts,U,0,other,other,0
Hogwarts,U,6,at_home,other,14
Hogwarts,R,8,services,services,10
Hogwarts,U,0,services,at_home,0
Hogwarts,U,0,other,teacher,12
Hogwarts,R,2,at_home,services,8
Hogwarts,R,8,other,other,13
Hogwarts,R,6,at_home,other,10
Hogwarts,R,2,at_home,other,15
Hogwarts,U,4,other,services,12
Hogwarts,R,0,at_home,other,0
Hogwarts,R,6,other,other,7
Hogwarts,U,0,other,other,0
Hogwarts,U,2,at_home,services,10
Hogwarts,R,0,other,services,7
Hogwarts,U,16,services,services,12
Hogwarts,U,4,other,other,10
Hogwarts,U,0,health,services,16
Hogwarts,U,0,other,other,0
Hogwarts,U,0,health,health,14
Hogwarts,U,0,other,other,0
Hogwarts,U,2,other,other,16
Hogwarts,U,0,teacher,other,10
Hogwarts,U,0,at_home,services,0
Hogwarts,U,4,other,other,9
Hogwarts,U,4,teacher,other,9
Hogwarts,U,2,services,other,11
Hogwarts,U,4,other,other,6
Hogwarts,R,10,teacher,services,9
Hogwarts,U,4,other,other,11
Hogwarts,U,10,teacher,other,8
Hogwarts,U,2,services,other,12
Hogwarts,U,0,services,services,17
Hogwarts,U,56,other,other,8
Hogwarts,U,14,other,other,12
Hogwarts,U,12,services,services,11
Hogwarts,U,2,services,services,11
Hogwarts,U,0,other,other,15
Hogwarts,U,6,health,other,9
Hogwarts,R,4,at_home,other,10
Hogwarts,U,10,services,services,13
Hogwarts,U,0,at_home,services,9
Hogwarts,U,12,at_home,services,8
Hogwarts,R,8,services,services,10
Hogwarts,U,0,other,other,14
Hogwarts,U,0,services,services,15
Hogwarts,U,4,services,teacher,16
Hogwarts,R,8,teacher,other,10
Hogwarts,U,24,services,teacher,18
Hogwarts,U,0,teacher,teacher,10
Hogwarts,U,2,health,other,16
Hogwarts,U,6,other,other,10
Hogwarts,U,4,other,other,10
Hogwarts,R,18,other,other,6
Hogwarts,R,6,services,services,11
Hogwarts,U,28,at_home,services,9
Hogwarts,U,5,services,other,7
Hogwarts,U,10,teacher,other,13
Hogwarts,U,6,at_home,other,10
Hogwarts,R,6,teacher,other,7
Hogwarts,U,10,other,other,8
Hogwarts,U,13,services,other,13
Hogwarts,U,0,other,other,14
Hogwarts,U,15,services,other,8
Hogwarts,R,12,services,other,10
Hogwarts,U,2,other,other,15
Hogwarts,U,22,other,other,4
Hogwarts,U,13,services,health,8
Hogwarts,U,3,at_home,other,8
Hogwarts,U,4,at_home,at_home,10
Hogwarts,R,2,at_home,services,6
Hogwarts,U,0,at_home,other,0
Hogwarts,U,2,services,teacher,17
Hogwarts,U,0,other,other,13
Hogwarts,U,0,teacher,services,14
Hogwarts,R,16,other,other,7
Hogwarts,U,10,other,other,15
Hogwarts,U,2,services,services,12
Hogwarts,U,14,at_home,other,9
Hogwarts,U,10,other,other,12
Hogwarts,U,14,health,other,14
Hogwarts,R,4,other,other,11
Hogwarts,U,14,teacher,teacher,9
Hogwarts,U,2,health,other,13
Hogwarts,U,18,other,other,6
Hogwarts,U,10,at_home,other,10
Hogwarts,U,4,other,other,13
Hogwarts,U,20,other,other,12
Hogwarts,R,2,at_home,services,11
Hogwarts,U,0,other,services,0
Hogwarts,U,14,health,other,12
Hogwarts,R,2,teacher,other,12
Hogwarts,U,0,teacher,other,0
Hogwarts,U,0,services,services,12
Hogwarts,U,0,other,other,0
Hogwarts,U,6,other,other,18
Hogwarts,U,4,other,other,13
Hogwarts,U,16,services,services,8
Hogwarts,R,8,other,services,5
Hogwarts,U,0,other,other,15
Hogwarts,U,0,services,other,8
Hogwarts,U,6,at_home,other,10
Hogwarts,U,4,services,services,8
Hogwarts,R,0,other,other,8
Hogwarts,R,0,other,other,12
Hogwarts,U,2,health,other,8
Hogwarts,U,6,teacher,services,13
Hogwarts,U,12,services,at_home,11
Hogwarts,U,8,other,other,14
Hogwarts,U,0,services,services,0
Hogwarts,U,21,services,other,18
Hogwarts,U,2,teacher,other,8
Hogwarts,R,1,other,other,12
Hogwarts,U,4,other,other,9
Hogwarts,U,0,at_home,services,0
Hogwarts,R,13,other,other,17
Hogwarts,U,2,services,other,10
Hogwarts,R,8,teacher,other,11
Hogwarts,U,10,health,other,10
Hogwarts,R,0,other,other,0
Hogwarts,U,15,other,services,9
Hogwarts,U,4,other,services,14
Hogwarts,U,2,other,other,11
Hogwarts,R,2,at_home,at_home,14
Hogwarts,U,2,at_home,health,10
Hogwarts,U,6,services,other,12
Hogwarts,R,75,other,services,9
Hogwarts,U,22,teacher,services,9
Hogwarts,U,15,health,health,8
Hogwarts,U,8,teacher,services,10
Hogwarts,U,30,services,other,8
Hogwarts,U,19,teacher,services,10
Hogwarts,R,1,at_home,other,12
Hogwarts,U,4,other,other,10
Hogwarts,U,4,other,other,11
Hogwarts,U,2,other,other,11
Hogwarts,U,5,at_home,at_home,19
Hogwarts,U,6,services,teacher,12
Hogwarts,U,6,services,services,14
Hogwarts,U,9,teacher,teacher,15
Hogwarts,U,11,teacher,other,11
Hogwarts,U,0,health,services,15
Hogwarts,U,12,services,at_home,13
Hogwarts,R,6,services,other,18
Hogwarts,R,8,services,other,14
Hogwarts,U,4,health,other,11
Hogwarts,U,0,health,other,0
Hogwarts,U,10,other,other,8
Hogwarts,U,0,other,other,14
Hogwarts,U,5,teacher,teacher,16
Hogwarts,U,14,health,other,11
Hogwarts,U,0,other,teacher,10
Hogwarts,U,0,other,other,14
Hogwarts,U,0,health,health,18
Hogwarts,U,20,other,other,13
Hogwarts,U,8,services,at_home,12
Hogwarts,U,0,services,other,18
Hogwarts,U,38,teacher,services,8
Hogwarts,R,0,other,services,12
Hogwarts,U,18,at_home,other,10
Hogwarts,U,0,services,services,0
Hogwarts,U,20,at_home,other,13
Hogwarts,U,3,other,services,11
Hogwarts,U,22,services,other,11
Hogwarts,U,14,at_home,health,13
Hogwarts,R,40,other,other,11
Hogwarts,U,0,services,other,0
Hogwarts,U,9,other,other,9
Hogwarts,R,0,at_home,services,10
Hogwarts,U,2,teacher,other,11
Hogwarts,U,23,services,services,13
Hogwarts,U,12,other,other,9
Hogwarts,R,3,services,services,11
Hogwarts,U,1,services,services,15
Hogwarts,U,0,at_home,at_home,15
Hogwarts,U,3,other,other,11
Hogwarts,U,3,other,services,16
Hogwarts,R,8,services,other,10
Hogwarts,U,7,teacher,services,9
Hogwarts,U,4,teacher,teacher,14
Hogwarts,U,2,other,other,8
Hogwarts,R,7,at_home,other,14
Hogwarts,U,0,services,services,0
Hogwarts,U,0,other,other,0
Hogwarts,R,0,at_home,other,0
Hogwarts,U,16,services,other,15
Hogwarts,R,12,services,at_home,13
Hogwarts,U,0,other,other,0
Hogwarts,U,7,services,services,17
Hogwarts,R,4,other,other,10
Hogwarts,U,4,services,services,11
Hogwarts,U,0,teacher,services,0
Hogwarts,U,11,services,other,15
Hogwarts,U,0,at_home,at_home,0
Hogwarts,U,4,at_home,other,10
Hogwarts,U,7,other,services,14
Hogwarts,R,9,teacher,services,16
Hogwarts,U,0,teacher,other,9
Hogwarts,U,0,health,other,15
New Trier High School,R,10,other,other,13
New Trier High School,R,8,other,services,8
New Trier High School,U,2,health,other,13
New Trier High School,U,7,at_home,services,8
New Trier High School,R,4,other,other,8
New Trier High School,R,4,services,other,11
New Trier High School,U,0,services,services,9
New Trier High School,R,4,teacher,services,13
New Trier High School,U,2,services,other,11
New Trier High School,U,4,other,services,10
New Trier High School,U,0,at_home,services,16
New Trier High School,R,0,at_home,other,13
New Trier High School,R,2,at_home,other,12
New Trier High School,U,0,services,services,10
New Trier High School,U,0,at_home,at_home,15
New Trier High School,R,0,other,services,12
New Trier High School,R,4,at_home,other,10
New Trier High School,U,0,teacher,services,13
New Trier High School,R,0,other,services,0
New Trier High School,U,0,at_home,services,10
New Trier High School,R,10,other,teacher,11
New Trier High School,U,4,services,services,9
New Trier High School,R,3,at_home,services,12
New Trier High School,U,8,other,at_home,11
New Trier High School,R,14,other,other,5
New Trier High School,R,0,other,other,19
New Trier High School,R,2,other,other,10
New Trier High School,U,4,health,other,15
New Trier High School,R,4,teacher,services,10
New Trier High School,U,0,other,other,15
New Trier High School,R,17,at_home,other,10
New Trier High School,U,4,teacher,teacher,14
New Trier High School,R,5,other,other,7
New Trier High School,U,2,other,services,10
New Trier High School,R,0,other,services,0
New Trier High School,R,14,other,other,5
New Trier High School,R,2,at_home,other,10
New Trier High School,R,7,teacher,at_home,6
New Trier High School,R,0,services,other,0
New Trier High School,U,0,teacher,services,8
New Trier High School,U,0,other,other,0
New Trier High School,U,11,services,services,9
New Trier High School,U,3,services,services,16
New Trier High School,R,3,other,other,7
New Trier High School,R,0,services,other,10
New Trier High School,U,5,other,at_home,9
