player,age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jayson Tatum,25,74,74,2645,672,1426,.471,229,609,.376,443,817,.542,.552,414,497,.833,67,534,601,364,75,43,188,145,1987
Derrick White,29,73,73,2381,387,839,.461,196,495,.396,191,344,.555,.578,137,152,.901,51,259,310,377,74,87,112,152,1107
Jaylen Brown,27,70,70,2343,627,1256,.499,145,410,.354,482,846,.570,.557,211,300,.703,84,303,387,249,83,37,166,185,1610
Jrue Holiday,33,69,69,2263,331,689,.480,138,322,.429,193,367,.526,.581,60,72,.833,84,289,373,333,61,53,124,108,860
Payton Pritchard,26,82,5,1825,297,635,.468,147,382,.385,150,253,.593,.583,46,56,.821,70,195,265,281,39,6,61,106,787
Sam Hauser,26,79,13,1741,249,558,.446,197,465,.424,52,93,.559,.623,17,19,.895,45,231,276,82,40,25,32,99,712
Al Horford,37,65,33,1740,214,419,.511,108,258,.419,106,161,.658,.640,26,30,.867,82,331,413,168,38,62,48,93,562
Kristaps Porziņģis,28,57,57,1690,388,752,.516,110,293,.375,278,459,.606,.589,259,302,.858,97,312,409,115,42,111,89,156,1145
Luke Kornet,28,63,7,983,142,203,.700,1,1,1.000,141,202,.698,.702,49,54,.907,118,143,261,67,23,61,21,77,334
Oshae Brissett,25,55,1,630,68,153,.444,15,55,.273,53,98,.541,.493,50,83,.602,61,99,160,44,19,8,20,54,201
Svi Mykhailiuk,26,41,2,413,57,137,.416,42,108,.389,15,29,.517,.569,6,9,.667,11,40,51,35,11,1,12,19,162
Neemias Queta,24,28,0,333,67,104,.644,0,0,,67,104,.644,.644,20,28,.714,53,69,122,20,13,21,13,50,154
Xavier Tillman Sr.,25,20,2,274,34,66,.515,8,28,.286,26,38,.684,.576,4,7,.571,14,40,54,20,9,9,5,15,80
Dalano Banton,24,24,1,171,19,51,.373,2,16,.125,17,35,.486,.392,16,20,.800,12,23,35,19,5,3,10,20,56
Jaden Springer,21,17,1,130,13,30,.433,2,11,.182,11,19,.579,.467,7,8,.875,8,12,20,9,11,4,8,17,35
Lamar Stevens,26,19,1,122,21,45,.467,3,8,.375,18,37,.486,.500,8,11,.727,12,19,31,8,6,5,9,14,53
Jordan Walsh,19,9,1,83,6,15,.400,2,9,.222,4,6,.667,.467,1,2,.500,5,15,20,5,5,1,3,11,15
JD Davison,21,8,0,39,5,12,.417,3,7,.429,2,5,.400,.542,3,4,.750,2,8,10,10,1,1,2,4,16
Drew Peterson,24,3,0,23,4,6,.667,3,5,.600,1,1,1.000,.917,0,0,,0,1,1,1,2,0,1,1,11